symbol,name,exchange,sector,currency,price,pct_change,market_cap,ytd_change,as_of
ABBEYBANK,,NGX,FINANCIAL SERVICES,NGN,7.0,0.0,,,2026-09-23
ABBEYBDS,Abbey Bank,NGX,Financials,NGN,7.0,,257010000000.0,0.09380000000000001,2026-09-23
ABCTRANS,,NGX,SERVICES,NGN,4.4,-2.22,7290000000.0,0.0732,2026-09-23
ACADEMY,,NGX,SERVICES,NGN,5.1,0.0,4620000000.0,-0.3014,2026-09-23
ACCESSCORP,,NGX,FINANCIAL SERVICES,NGN,30.5,1.16,1658460000000.0,0.4524,2026-09-23
AFRINSURE,AFRINSURE [MRF],NGX,FINANCIAL SERVICES,NGN,0.2,0.0,4110000000.0000005,,2026-09-23
AFRIPRUD,,NGX,FINANCIAL SERVICES,NGN,10.1,-3.35,40400000000.0,-0.3176,2026-09-23
AFROMEDIA,AFROMEDIA [MRF],NGX,SERVICES,NGN,0.24,0.0,1060000000.0,,2026-09-23
AIICO,,NGX,FINANCIAL SERVICES,NGN,3.94,5.07,144220000000.0,0.039599999999999996,2026-09-23
AIRTELAFRI,,NGX,ICT,NGN,6300.0,0.0,23676350000000.0,1.7753,2026-09-23
ALEX,ALEX [BMF],NGX,NATURAL RESOURCES,NGN,9.9,0.0,2170000000.0,-0.5427000000000001,2026-09-23
ARADEL,,NGX,OIL AND GAS,NGN,1530.0,0.0,6647610000000.0,1.2836,2026-09-23
ARBICO,,NGX,,NGN,1.03,0.0,,,2026-09-23
ASOSAVINGS,Aso Savings And Loans,NGX,Financials,NGN,3.21,,15770000000.0,,2026-09-23
AUSTINLAZ,AUSTINLAZ [RST],NGX,INDUSTRIAL GOODS,NGN,2.2,6.82,2370000000.0,-0.4824,2026-09-23
AVACAP,,NGX,FINANCIAL SERVICES,NGN,5.15,1.98,25750000000.0,,2026-09-23
AVAIF,,NGX,CONSTRUCTION/REAL ESTATE,NGN,1000000.0,0.0,4070000000.0000005,,2026-09-23
BAPLC,,NGX,ICT,NGN,6.25,0.0,60000000.0,,2026-09-23
BERGER,,NGX,INDUSTRIAL GOODS,NGN,147.6,0.0,42770000000.0,2.075,2026-09-23
BETAGLAS,,NGX,INDUSTRIAL GOODS,NGN,511.5,0.0,255730000000.0,0.3824,2026-09-23
BUACEMENT,,NGX,INDUSTRIAL GOODS,NGN,297.0,0.0,10057710000000.0,0.6639,2026-09-23
BUAFOODS,,NGX,CONSUMER GOODS,NGN,760.6,0.0,13690800000000.0,-0.0479,2026-09-23
CADBURY,,NGX,CONSUMER GOODS,NGN,60.1,0.0,137039999999.99998,0.0033,2026-09-23
CAP,,NGX,INDUSTRIAL GOODS,NGN,102.0,0.0,83100000000.0,0.4783,2026-09-23
CAPHOTEL,,NGX,,NGN,3.02,0.0,,,2026-09-23
CAVERTON,,NGX,SERVICES,NGN,4.0,-9.09,13400000000.0,-0.2593,2026-09-23
CHAMPION,,NGX,CONSUMER GOODS,NGN,10.0,0.0,113230000000.0,-0.2857,2026-09-23
CHAMS,,NGX,ICT,NGN,3.41,-2.29,30690000000.0,-0.12560000000000002,2026-09-23
CHELLARAM,,NGX,CONGLOMERATES,NGN,9.7,0.0,7010000000.0,-0.2652,2026-09-23
CHIPLC,,NGX,,NGN,1.09,0.0,,,2026-09-23
